tenure_in_months,number_of_referrals,total_revenue,contract,offer,online_security,premium_tech_support,device_protection_plan,customer_status
1,0,165.99,Month-to-Month,Offer E,No,No,No,Churned
4,0,418.82,Month-to-Month,Offer E,No,Yes,Yes,Churned
14,0,1368.5,Month-to-Month,Offer D,No,No,No,Stayed
51,0,2520.32,One Year,Offer B,No Internet,No Internet,No Internet,Stayed
23,5,2563.37,Month-to-Month,None,Yes,Yes,No,Stayed
72,0,6947.38,Two Year,None,No,Yes,Yes,Stayed
30,2,1273.8,One Year,None,No Internet,No Internet,No Internet,Stayed
69,4,7478.5,Two Year,Offer A,Yes,No,Yes,Stayed
5,0,289.45,One Year,None,No Internet,No Internet,No Internet,Stayed
2,0,267.01,Month-to-Month,None,No,No,No,Churned
13,0,2010.84,Month-to-Month,Offer D,No,Yes,No,Stayed
71,1,8119.86,Two Year,Offer A,No,Yes,Yes,Churned
8,0,822.2,Month-to-Month,Offer E,No,No,No,Stayed
7,0,668.83,Month-to-Month,Offer E,No,Yes,Yes,Stayed
25,1,805.15,One Year,None,No Internet,No Internet,No Internet,Stayed
32,0,1238.88,Two Year,None,No Internet,No Internet,No Internet,Stayed
11,0,1233.91,Month-to-Month,Offer D,No,Yes,No,Churned
13,0,590.35,Two Year,None,Yes,Yes,No,Stayed
72,10,6831.53,Two Year,Offer A,Yes,Yes,Yes,Stayed
39,0,1630.4,One Year,None,Yes,Yes,No,Stayed
6,9,608.85,Month-to-Month,None,No,No,No,Stayed
31,0,1634.26,One Year,Offer C,No Internet,No Internet,No Internet,Stayed
59,1,1783.74,Two Year,None,No Internet,No Internet,No Internet,Stayed
5,0,462.95,Month-to-Month,Offer E,No,No,No,Churned
27,3,2523.76,One Year,Offer C,Yes,Yes,No,Stayed
8,6,296.95,Two Year,None,No Internet,No Internet,No Internet,Stayed
39,0,1790.6,One Year,Offer C,Yes,Yes,No,Stayed
4,0,239.63,Month-to-Month,None,No,No,No,Stayed
51,7,1772.61,Two Year,Offer B,Yes,Yes,No,Stayed
4,8,495.96,Month-to-Month,None,No,No,No,Churned
59,0,6791.67,Month-to-Month,Offer B,No,No,Yes,Stayed
37,0,3735.71,Two Year,None,Yes,Yes,Yes,Stayed
7,0,548.39,Two Year,None,No,No,Yes,Stayed
6,0,307.6,Month-to-Month,Offer E,Yes,Yes,No,Stayed
7,0,406.28,One Year,None,No Internet,No Internet,No Internet,Stayed
9,0,790.53,Month-to-Month,Offer E,No,No,No,Stayed
4,0,122.94,One Year,Offer E,No Internet,No Internet,No Internet,Stayed
46,1,4023.62,Month-to-Month,Offer B,No,No,No,Stayed
1,0,69.99,Month-to-Month,None,No,No,No,Churned
64,0,6344.68,Two Year,Offer B,Yes,Yes,No,Churned
72,5,8827.93,Two Year,None,Yes,Yes,Yes,Stayed
28,0,2223.76,Two Year,None,No,Yes,Yes,Stayed
9,3,830.12,Month-to-Month,None,No,No,No,Stayed
19,0,605.43,One Year,Offer D,No Internet,No Internet,No Internet,Stayed
71,2,6794.48,Two Year,None,No,Yes,Yes,Stayed
2,0,119.91,Month-to-Month,Offer E,Yes,No,No,Churned
3,1,288.98,Month-to-Month,None,No,No,No,Churned
18,0,1917.06,Month-to-Month,Offer D,No,Yes,Yes,Stayed
3,1,99.75,Month-to-Month,Offer E,No,No,No,Churned
22,0,3036.18,Month-to-Month,Offer D,No,No,No,Stayed
9,3,1091.69,Month-to-Month,Offer E,No,No,No,Churned
17,1,1490.7,Month-to-Month,None,No,No,No,Churned
20,0,1165.55,Month-to-Month,None,Yes,Yes,Yes,Stayed
4,8,295.71,Month-to-Month,Offer E,No,No,No,Stayed
71,2,8433.18,Two Year,Offer A,Yes,Yes,Yes,Stayed
44,2,4523.55,Month-to-Month,Offer B,Yes,No,Yes,Stayed
72,8,6388.94,Two Year,None,Yes,Yes,No,Stayed
54,5,6566.64,Two Year,None,Yes,Yes,Yes,Stayed
18,1,2217.27,Month-to-Month,Offer D,Yes,No,No,Stayed
26,0,3055.14,Two Year,Offer C,No,No,No,Stayed
53,2,7248.04,One Year,Offer B,No,Yes,No,Stayed
25,0,875.5,Month-to-Month,Offer C,No Internet,No Internet,No Internet,Stayed
72,3,9744.69,Two Year,None,Yes,Yes,Yes,Stayed
53,3,8026.21,One Year,None,No,Yes,Yes,Stayed
1,0,99.64,Month-to-Month,None,No,No,No,Churned
18,1,1221.25,Month-to-Month,None,No,No,Yes,Churned
10,0,1371.15,Month-to-Month,None,Yes,No,Yes,Stayed
7,0,607.45,Month-to-Month,None,No,No,No,Churned
57,10,2461.21,Two Year,Offer B,No Internet,No Internet,No Internet,Stayed
8,0,226.95,Month-to-Month,None,No,No,No,Stayed
33,5,4140.08,Month-to-Month,None,No,No,Yes,Stayed
64,0,7777.45,Month-to-Month,Offer B,Yes,No,No,Stayed
9,0,1104.65,Month-to-Month,None,No,Yes,No,Stayed
60,10,5903.37,Two Year,None,Yes,No,No,Stayed
54,0,2397.58,Two Year,None,No Internet,No Internet,No Internet,Stayed
46,2,4574.56,One Year,Offer B,No,Yes,Yes,Stayed
1,0,36.63,Month-to-Month,Offer E,No Internet,No Internet,No Internet,Churned
6,0,189.62,One Year,Offer E,No Internet,No Internet,No Internet,Stayed
48,0,4668.12,One Year,Offer B,No,Yes,Yes,Stayed
45,2,5237.25,Two Year,None,No,Yes,Yes,Stayed
37,8,1291.37,One Year,None,No Internet,No Internet,No Internet,Stayed
11,0,1314.58,Two Year,None,Yes,No,No,Stayed
55,10,6339.95,Month-to-Month,Offer B,No,No,Yes,Stayed
12,0,1462.83,Month-to-Month,None,No,No,Yes,Churned
39,0,2774.68,One Year,None,No Internet,No Internet,No Internet,Stayed
38,0,3811.55,Month-to-Month,None,Yes,Yes,Yes,Stayed
15,0,1708.1,Month-to-Month,Offer D,Yes,No,No,Churned
45,5,5687.51,One Year,None,No,No,Yes,Stayed
72,1,4824.93,Two Year,None,No Internet,No Internet,No Internet,Stayed
16,0,848.72,Two Year,Offer D,No Internet,No Internet,No Internet,Stayed
53,0,3613.36,One Year,Offer B,No,No,Yes,Stayed
13,1,633.4,Month-to-Month,None,No,No,Yes,Churned
71,1,8433.46,One Year,None,No,Yes,Yes,Stayed
60,1,2491.1,One Year,Offer B,No Internet,No Internet,No Internet,Stayed
71,5,8320.71,One Year,Offer A,Yes,No,Yes,Stayed
14,2,879.25,Two Year,Offer D,No Internet,No Internet,No Internet,Stayed
7,0,949.73,Month-to-Month,None,No,No,Yes,Churned
50,0,5762.7,Month-to-Month,None,No,No,No,Churned
69,5,2596.95,Two Year,None,No Internet,No Internet,No Internet,Stayed
49,0,6714.97,Month-to-Month,Offer B,No,No,Yes,Churned
37,1,4854.18,Month-to-Month,Offer C,No,No,Yes,Stayed
43,0,6044.46,One Year,Offer B,No,Yes,No,Churned
4,0,504.93,Month-to-Month,Offer E,No,No,No,Churned
7,5,280.0,Two Year,None,Yes,No,Yes,Stayed
57,0,1993.28,Two Year,Offer B,No Internet,No Internet,No Internet,Stayed
1,0,103.63,Month-to-Month,None,No,No,No,Churned
8,1,1024.1,Month-to-Month,Offer E,No,No,No,Churned
61,9,4674.01,Two Year,Offer B,No,Yes,Yes,Stayed
46,7,4634.48,Month-to-Month,Offer B,No,No,No,Stayed
64,5,2706.67,Two Year,Offer B,No Internet,No Internet,No Internet,Stayed
72,0,10190.07,Two Year,Offer A,Yes,Yes,Yes,Stayed
16,1,1596.17,Month-to-Month,Offer D,No,No,No,Churned
1,0,146.95,Month-to-Month,None,No,No,No,Churned
25,0,2832.1,Month-to-Month,Offer C,No,No,No,Stayed
64,0,5987.33,Two Year,None,Yes,Yes,Yes,Stayed
24,7,1509.69,One Year,None,Yes,No,Yes,Stayed
14,1,1337.19,Month-to-Month,Offer D,No,No,No,Churned
15,0,1267.66,One Year,None,No,No,No,Stayed
9,0,438.8,Month-to-Month,None,No,No,No,Churned
69,0,2779.08,Two Year,None,No Internet,No Internet,No Internet,Stayed
50,1,7208.3,Two Year,None,Yes,No,Yes,Stayed
12,0,1048.19,Month-to-Month,None,No,No,No,Stayed
19,1,1930.35,Month-to-Month,Offer D,Yes,No,No,Churned
69,0,9105.93,Two Year,Offer A,No,Yes,Yes,Stayed
66,6,5998.18,Month-to-Month,None,Yes,No,Yes,Stayed
5,10,398.45,Month-to-Month,Offer E,No,No,No,Stayed
69,0,5952.84,Two Year,Offer A,Yes,Yes,Yes,Stayed
12,0,1684.62,Month-to-Month,Offer D,No,No,No,Churned
17,8,1181.68,Two Year,Offer D,No Internet,No Internet,No Internet,Stayed
57,1,7014.97,One Year,None,No,No,No,Stayed
38,0,3935.58,Month-to-Month,None,No,Yes,Yes,Churned
12,0,732.97,Month-to-Month,Offer D,No Internet,No Internet,No Internet,Stayed
24,0,2453.58,Month-to-Month,Offer C,No,No,No,Churned
63,0,8676.38,Month-to-Month,None,Yes,No,Yes,Stayed
2,0,160.43,Month-to-Month,Offer E,No,No,No,Churned
36,0,3452.76,One Year,None,No,Yes,No,Churned
18,0,771.96,Month-to-Month,None,No Internet,No Internet,No Internet,Stayed
58,2,7966.41,One Year,None,No,Yes,Yes,Stayed
42,1,4698.97,Month-to-Month,Offer B,No,No,Yes,Churned
5,0,673.05,Month-to-Month,Offer E,No,No,No,Churned
63,3,6781.09,Month-to-Month,Offer B,Yes,No,Yes,Churned
50,3,7510.4,One Year,None,Yes,No,Yes,Stayed
6,1,335.41,Month-to-Month,Offer E,No,No,Yes,Churned
1,0,51.95,Month-to-Month,None,No Internet,No Internet,No Internet,Churned
27,1,1713.68,Two Year,Offer C,No Internet,No Internet,No Internet,Stayed
6,9,357.59,Month-to-Month,Offer E,No,No,No,Stayed
10,0,572.6,Two Year,None,No Internet,No Internet,No Internet,Stayed
67,6,2002.84,Two Year,None,No Internet,No Internet,No Internet,Stayed
70,0,8887.51,Two Year,None,Yes,Yes,Yes,Stayed
48,0,1377.82,One Year,None,No Internet,No Internet,No Internet,Stayed
16,0,2190.16,Month-to-Month,None,No,No,Yes,Churned
13,0,1217.86,Month-to-Month,None,No,No,No,Stayed
5,0,448.01,Month-to-Month,Offer E,No,No,No,Churned
72,5,6335.58,Two Year,Offer A,Yes,No,No,Stayed
72,7,8994.0,Two Year,Offer A,No,Yes,Yes,Stayed
24,0,2848.2,Month-to-Month,None,No,No,No,Stayed
1,0,45.3,Month-to-Month,None,No,No,No,Churned
72,1,11634.53,Two Year,None,Yes,Yes,Yes,Stayed
68,1,6246.21,Two Year,Offer A,Yes,No,No,Stayed
2,0,223.71,Month-to-Month,None,No,No,No,Churned
62,0,7686.04,Two Year,Offer B,No,Yes,Yes,Stayed
41,10,4219.21,One Year,Offer B,Yes,Yes,No,Stayed
46,7,5911.42,Two Year,Offer B,Yes,Yes,No,Stayed
3,0,322.55,Month-to-Month,None,No,No,No,Churned
71,7,9893.23,Two Year,Offer A,Yes,Yes,Yes,Stayed
2,1,128.82,Month-to-Month,Offer E,No,No,No,Churned
2,0,155.68,Month-to-Month,None,Yes,No,No,Churned
60,0,6557.5,One Year,None,No,Yes,Yes,Stayed
40,0,4082.25,Month-to-Month,None,No,No,No,Stayed
27,0,3173.44,Month-to-Month,None,Yes,Yes,No,Stayed
3,0,270.17,Month-to-Month,Offer E,No,No,No,Churned
6,5,556.0,Month-to-Month,Offer E,No,No,No,Churned
1,0,94.52,Month-to-Month,None,No,No,No,Churned
34,0,2736.14,Two Year,Offer C,No,No,No,Stayed
1,0,101.32,Month-to-Month,Offer E,No,No,No,Churned
32,10,1653.45,Month-to-Month,None,No,No,Yes,Stayed
1,0,90.28,Month-to-Month,None,No,No,No,Churned
27,0,1503.99,Two Year,None,No Internet,No Internet,No Internet,Stayed
12,0,1170.69,One Year,Offer D,Yes,No,No,Stayed
65,0,6673.65,Two Year,Offer B,Yes,Yes,No,Stayed
2,1,192.8,Month-to-Month,Offer E,No,No,Yes,Churned
42,1,4613.92,Month-to-Month,None,No,Yes,Yes,Churned
62,6,3128.55,Two Year,Offer B,Yes,Yes,No,Stayed
48,0,2662.41,Two Year,Offer B,No Internet,No Internet,No Internet,Stayed
35,1,1416.7,Two Year,Offer C,No Internet,No Internet,No Internet,Stayed
71,2,4102.43,Two Year,None,No Internet,No Internet,No Internet,Stayed
72,9,11416.21,Two Year,None,Yes,Yes,Yes,Stayed
12,0,1050.92,Month-to-Month,Offer D,No,No,No,Churned
31,0,1520.1,Two Year,None,Yes,Yes,No,Stayed
45,6,2513.6,Month-to-Month,Offer B,No,No,Yes,Stayed
72,0,3660.43,Two Year,Offer A,No Internet,No Internet,No Internet,Stayed
45,6,5934.1,One Year,None,No,No,Yes,Stayed
62,0,2501.72,Two Year,Offer B,No Internet,No Internet,No Internet,Stayed
17,0,1001.99,One Year,None,No Internet,No Internet,No Internet,Stayed
54,0,5816.36,Two Year,None,Yes,Yes,Yes,Stayed
15,0,498.0,Month-to-Month,None,No Internet,No Internet,No Internet,Stayed
22,1,2427.99,Month-to-Month,Offer D,Yes,No,No,Stayed
12,0,1207.87,Month-to-Month,None,No,No,No,Churned
49,2,2591.25,One Year,None,No,No,No,Churned
2,1,97.1,Month-to-Month,None,No,No,No,Churned
24,1,1752.63,Month-to-Month,Offer C,Yes,No,No,Churned
53,3,5802.37,One Year,Offer B,Yes,No,Yes,Stayed
42,8,4594.11,Month-to-Month,None,No,Yes,Yes,Stayed
56,8,6598.53,Two Year,None,Yes,Yes,Yes,Stayed
28,0,810.85,Month-to-Month,Offer C,No,Yes,No,Stayed
6,0,278.33,Month-to-Month,None,No Internet,No Internet,No Internet,Stayed
1,0,89.5,Month-to-Month,None,No,Yes,No,Churned
11,0,1009.55,Month-to-Month,None,No,No,No,Churned
37,0,4226.78,Month-to-Month,None,No,No,Yes,Churned
56,10,6096.84,One Year,Offer B,Yes,Yes,Yes,Stayed
7,0,417.06,One Year,None,Yes,No,No,Stayed
66,0,8085.45,One Year,None,No,Yes,Yes,Churned
25,7,846.6,One Year,Offer C,No Internet,No Internet,No Internet,Stayed
57,1,6259.68,Two Year,Offer B,Yes,Yes,No,Stayed
47,1,1084.38,Two Year,None,No Internet,No Internet,No Internet,Stayed
8,0,330.8,Month-to-Month,None,Yes,No,No,Stayed
12,0,342.22,Two Year,None,No,No,No,Stayed
58,7,3876.75,One Year,None,No,No,No,Stayed
7,0,705.58,Month-to-Month,None,No,No,No,Churned
52,0,5734.12,Two Year,Offer B,Yes,Yes,No,Stayed
70,8,7689.75,Two Year,Offer A,Yes,Yes,Yes,Stayed
22,0,1161.5,Month-to-Month,None,Yes,No,No,Churned
46,3,6753.62,Month-to-Month,None,Yes,No,Yes,Churned
39,0,4469.43,Two Year,Offer C,No,Yes,No,Stayed
63,0,3899.77,Two Year,Offer B,No Internet,No Internet,No Internet,Stayed
10,5,353.6,Two Year,None,No Internet,No Internet,No Internet,Stayed
54,1,3356.57,Two Year,None,No Internet,No Internet,No Internet,Stayed
11,0,595.08,One Year,Offer D,No Internet,No Internet,No Internet,Stayed
71,5,6364.27,Two Year,Offer A,Yes,Yes,Yes,Stayed
43,6,4192.85,One Year,None,Yes,Yes,Yes,Stayed
38,0,2715.85,One Year,Offer C,No,Yes,Yes,Churned
21,0,2325.55,Month-to-Month,None,No,No,Yes,Stayed
1,0,79.28,Month-to-Month,None,No,No,No,Churned
19,0,2545.04,One Year,Offer D,No,Yes,No,Stayed
59,9,7445.07,Two Year,Offer B,Yes,Yes,Yes,Stayed
1,0,52.92,Month-to-Month,None,No,No,No,Churned
72,10,10814.34,Two Year,Offer A,Yes,Yes,Yes,Stayed
29,0,4378.13,One Year,None,No,Yes,Yes,Stayed
36,5,1547.35,Two Year,None,Yes,Yes,Yes,Stayed
1,0,83.79,Month-to-Month,None,No,No,No,Churned
10,0,350.3,One Year,None,No Internet,No Internet,No Internet,Stayed
39,0,4155.1,Two Year,None,No,Yes,Yes,Churned
17,9,1679.81,Month-to-Month,None,No,No,No,Stayed
12,5,835.89,Month-to-Month,Offer D,No,No,No,Stayed
58,1,5007.63,One Year,Offer B,Yes,Yes,No,Stayed
57,6,4019.37,Month-to-Month,None,Yes,Yes,No,Stayed
69,6,2128.93,Two Year,None,No Internet,No Internet,No Internet,Stayed
23,0,2947.66,One Year,None,Yes,No,Yes,Stayed
33,0,4080.42,One Year,Offer C,No,Yes,No,Stayed
3,0,227.52,Month-to-Month,None,No,No,No,Churned
8,5,541.07,One Year,Offer E,No Internet,No Internet,No Internet,Stayed
34,5,3701.06,Month-to-Month,None,No,No,Yes,Stayed
14,1,1576.0,Month-to-Month,None,Yes,No,No,Churned
72,3,3113.49,Two Year,Offer A,No Internet,No Internet,No Internet,Stayed
71,5,7208.92,Two Year,None,Yes,Yes,No,Stayed
64,5,6393.61,One Year,Offer B,Yes,No,Yes,Stayed
53,9,3475.63,Month-to-Month,Offer B,No,Yes,No,Stayed
68,5,7902.78,Two Year,Offer A,No,No,Yes,Stayed
5,1,442.7,Month-to-Month,None,No,No,No,Churned
52,0,6023.63,Two Year,Offer B,No,No,No,Stayed
67,4,7588.91,One Year,Offer A,No,No,Yes,Churned
68,0,4716.78,Two Year,None,No Internet,No Internet,No Internet,Stayed
49,10,4268.63,One Year,None,No,No,Yes,Stayed
37,0,1029.87,Two Year,None,No Internet,No Internet,No Internet,Stayed
23,0,2347.2,Month-to-Month,Offer D,No,No,Yes,Churned
11,0,727.13,Month-to-Month,Offer D,No Internet,No Internet,No Internet,Stayed
70,0,2041.5,One Year,None,No Internet,No Internet,No Internet,Stayed
40,0,4126.3,Month-to-Month,None,Yes,Yes,No,Stayed
69,0,8366.62,Two Year,Offer A,No,Yes,No,Stayed
71,1,3194.34,Two Year,None,No Internet,No Internet,No Internet,Stayed
61,3,6040.42,One Year,Offer B,Yes,Yes,Yes,Stayed
26,0,3267.11,Month-to-Month,Offer C,No,No,Yes,Stayed
48,1,5179.55,One Year,Offer B,No,No,No,Churned
60,4,2144.05,Two Year,Offer B,No Internet,No Internet,No Internet,Stayed
15,9,1561.15,Month-to-Month,Offer D,No,No,No,Stayed
69,9,8916.04,One Year,Offer A,Yes,Yes,No,Stayed
59,1,2452.7,Month-to-Month,Offer B,No,No,No,Churned
54,9,6006.34,One Year,None,No,Yes,No,Stayed
72,8,4549.05,Two Year,None,Yes,Yes,Yes,Stayed
9,0,544.82,Month-to-Month,None,No Internet,No Internet,No Internet,Stayed
66,7,3425.48,Two Year,None,No Internet,No Internet,No Internet,Stayed
72,6,9664.57,Two Year,Offer A,No,Yes,Yes,Stayed
43,0,4660.6,Month-to-Month,None,Yes,No,No,Churned
57,0,3094.05,Two Year,Offer B,No,No,Yes,Stayed
1,1,50.1,Month-to-Month,None,No,Yes,No,Churned
32,1,4525.94,Month-to-Month,None,No,No,Yes,Churned
55,7,7002.75,Two Year,Offer B,No,Yes,Yes,Stayed
51,9,1529.45,Month-to-Month,None,No,No,No,Stayed
6,3,594.05,Month-to-Month,None,No,Yes,No,Stayed
8,1,445.85,Month-to-Month,Offer E,No,No,Yes,Churned
28,0,961.4,Month-to-Month,Offer C,No,Yes,Yes,Stayed
16,1,1194.44,One Year,Offer D,Yes,No,No,Stayed
30,0,4097.1,Two Year,None,No,Yes,No,Stayed
12,0,702.89,One Year,None,No,Yes,Yes,Stayed
60,0,7038.45,Month-to-Month,None,No,No,Yes,Churned
55,0,5148.05,One Year,Offer B,No,Yes,No,Stayed
34,10,1325.85,Two Year,None,No,Yes,No,Stayed
15,0,528.25,Month-to-Month,None,No,Yes,No,Churned
2,0,175.85,Month-to-Month,None,No,No,No,Churned
6,5,359.23,One Year,None,No Internet,No Internet,No Internet,Stayed
66,0,8533.01,Two Year,None,Yes,No,Yes,Churned
72,8,8192.43,Two Year,None,Yes,No,No,Stayed
10,0,713.05,Month-to-Month,None,No,Yes,No,Stayed
1,0,78.7,Month-to-Month,None,No,No,No,Churned
47,0,4500.07,Two Year,None,No,Yes,No,Stayed
22,0,1304.85,Two Year,None,No,Yes,Yes,Stayed
31,0,3353.82,One Year,None,No,No,Yes,Churned
39,7,4693.82,Month-to-Month,Offer C,No,Yes,Yes,Stayed
30,1,1667.0,Month-to-Month,None,No,No,No,Churned
12,3,528.2,Month-to-Month,None,No Internet,No Internet,No Internet,Stayed
10,2,1321.65,Month-to-Month,None,No,No,No,Churned
45,4,3902.9,Two Year,None,Yes,Yes,Yes,Stayed
18,1,1946.35,Month-to-Month,None,Yes,No,No,Churned
70,1,4089.47,One Year,Offer A,No,Yes,Yes,Stayed
72,5,4784.45,Two Year,Offer A,Yes,Yes,Yes,Stayed
12,0,1431.29,Month-to-Month,Offer D,Yes,No,Yes,Churned
4,0,429.35,Month-to-Month,None,No,No,No,Churned
6,0,172.08,Month-to-Month,None,No Internet,No Internet,No Internet,Stayed
61,1,7954.2,Month-to-Month,None,Yes,Yes,Yes,Stayed
42,2,6044.65,One Year,None,Yes,No,Yes,Stayed
45,0,1840.75,One Year,None,Yes,Yes,Yes,Stayed
8,0,842.82,Month-to-Month,Offer E,Yes,Yes,No,Stayed
14,0,1439.54,Month-to-Month,Offer D,No,Yes,No,Stayed
18,0,2176.04,Month-to-Month,Offer D,Yes,Yes,Yes,Stayed
43,0,2285.99,Two Year,None,No Internet,No Internet,No Internet,Stayed
27,10,1665.02,One Year,None,Yes,No,No,Stayed
18,0,1550.23,Month-to-Month,Offer D,No,No,No,Stayed
5,1,100.4,Month-to-Month,Offer E,No,No,No,Churned
52,1,5988.72,Month-to-Month,Offer B,Yes,Yes,Yes,Stayed
23,0,2203.23,Month-to-Month,None,No,No,Yes,Stayed
17,1,720.32,Month-to-Month,Offer D,No Internet,No Internet,No Internet,Churned
20,1,952.35,One Year,None,No Internet,No Internet,No Internet,Stayed
31,0,3353.8,Two Year,Offer C,No,Yes,Yes,Stayed
35,0,2182.4,Two Year,None,No Internet,No Internet,No Internet,Stayed
6,7,267.5,Two Year,Offer E,No,Yes,Yes,Stayed
2,0,249.04,Month-to-Month,None,No,No,No,Churned
14,0,785.58,One Year,Offer D,No Internet,No Internet,No Internet,Stayed
63,0,6505.73,One Year,None,No,No,No,Stayed
68,2,8953.58,Month-to-Month,Offer A,Yes,Yes,No,Stayed
58,0,7398.21,Month-to-Month,None,No,Yes,No,Stayed
19,0,2491.38,Month-to-Month,None,Yes,Yes,Yes,Churned
1,0,77.91,Month-to-Month,Offer E,No,No,No,Churned
24,9,2762.17,Two Year,None,No,No,Yes,Stayed
18,0,1993.1,Month-to-Month,None,No,No,No,Churned
51,1,5580.96,One Year,None,Yes,Yes,No,Stayed
45,6,4020.17,One Year,Offer B,Yes,No,Yes,Stayed
61,1,5370.2,Month-to-Month,Offer B,Yes,No,No,Stayed
1,0,68.45,Month-to-Month,Offer E,No Internet,No Internet,No Internet,Churned
33,1,2367.15,One Year,None,No,Yes,No,Stayed
2,0,184.12,Month-to-Month,None,No,No,No,Churned
8,1,247.05,Month-to-Month,None,No Internet,No Internet,No Internet,Churned
26,4,825.36,Two Year,None,No Internet,No Internet,No Internet,Stayed
23,0,2331.42,Month-to-Month,None,Yes,No,No,Stayed
1,0,44.65,Month-to-Month,Offer E,No,Yes,No,Churned
2,0,273.92,Month-to-Month,Offer E,No,No,No,Churned
13,8,1886.95,Two Year,Offer D,Yes,No,No,Stayed
1,1,23.24,Month-to-Month,Offer E,No Internet,No Internet,No Internet,Churned
4,2,129.6,Month-to-Month,Offer E,Yes,No,No,Stayed
22,0,2342.16,Month-to-Month,Offer D,Yes,No,No,Churned
2,0,95.47,Month-to-Month,None,No Internet,No Internet,No Internet,Churned
1,0,35.9,Month-to-Month,Offer E,No,No,No,Churned
21,0,2135.59,Month-to-Month,Offer D,No,No,No,Stayed
45,1,4632.9,One Year,Offer B,No,Yes,Yes,Stayed
12,0,1401.9,Month-to-Month,Offer D,No,No,No,Stayed
72,1,7072.24,Two Year,Offer A,Yes,No,Yes,Stayed
63,9,7331.26,Two Year,None,Yes,Yes,Yes,Stayed
15,1,1732.9,Month-to-Month,None,No,No,Yes,Churned
43,7,5042.31,One Year,None,Yes,No,Yes,Stayed
60,2,8145.55,Two Year,None,Yes,Yes,Yes,Stayed
31,0,2773.12,Month-to-Month,None,No,No,No,Stayed
53,10,2614.33,One Year,Offer B,No Internet,No Internet,No Internet,Stayed
67,0,6970.31,Month-to-Month,None,No,No,No,Stayed
72,0,9681.55,Two Year,None,Yes,Yes,Yes,Stayed
4,0,194.98,Month-to-Month,None,No Internet,No Internet,No Internet,Stayed
51,0,3077.0,One Year,None,Yes,Yes,Yes,Stayed
15,0,1118.2,Month-to-Month,Offer D,No,No,No,Stayed
69,7,2015.86,Two Year,Offer A,No Internet,No Internet,No Internet,Stayed
4,0,341.03,Month-to-Month,Offer E,No,No,No,Stayed
55,0,7872.5,One Year,Offer B,Yes,No,No,Stayed
4,0,146.4,Month-to-Month,None,Yes,Yes,No,Stayed
2,0,72.4,Month-to-Month,Offer E,Yes,No,No,Churned
45,0,5375.4,Month-to-Month,Offer B,No,No,No,Churned
19,0,1495.34,Month-to-Month,Offer D,No,No,No,Stayed
3,1,93.7,Month-to-Month,Offer E,No,No,No,Churned
28,0,3182.97,Month-to-Month,Offer C,No,Yes,Yes,Churned
23,10,2094.72,Month-to-Month,None,No,No,No,Stayed
1,0,36.46,Month-to-Month,None,No Internet,No Internet,No Internet,Churned
25,0,1293.8,Month-to-Month,Offer C,No,No,Yes,Stayed
71,2,7007.99,Two Year,Offer A,Yes,Yes,Yes,Stayed
14,0,1375.99,Month-to-Month,None,No,No,Yes,Stayed
24,0,1394.31,One Year,None,No,Yes,No,Stayed
56,0,5894.64,Two Year,None,No,No,Yes,Stayed
1,1,97.81,Month-to-Month,None,Yes,No,No,Churned
7,2,497.33,Two Year,None,Yes,Yes,No,Stayed
5,0,394.25,Month-to-Month,Offer E,Yes,Yes,No,Stayed
1,1,112.86,Month-to-Month,Offer E,No,No,No,Churned
19,4,434.8,Month-to-Month,Offer D,No,No,No,Stayed
7,0,685.88,Month-to-Month,Offer E,No,No,No,Churned
16,6,1836.23,Month-to-Month,Offer D,No,No,No,Stayed
10,1,1080.05,One Year,Offer D,No,No,Yes,Stayed
72,0,5174.36,Two Year,None,Yes,No,No,Stayed
51,0,5116.89,One Year,None,No,No,Yes,Stayed
67,0,10865.37,Two Year,None,Yes,Yes,Yes,Stayed
25,7,2777.85,Two Year,None,No,No,No,Stayed
45,9,4000.55,Month-to-Month,Offer B,Yes,Yes,Yes,Stayed
30,0,2836.1,Month-to-Month,Offer C,No,Yes,No,Churned
11,9,1443.48,Month-to-Month,Offer D,No,No,No,Stayed
20,6,1911.5,Month-to-Month,Offer D,No,Yes,Yes,Stayed
70,10,9761.9,Two Year,Offer A,Yes,Yes,Yes,Stayed
38,0,4110.78,One Year,None,No,Yes,Yes,Churned
1,1,24.8,Month-to-Month,None,No,No,No,Churned
3,0,391.93,Month-to-Month,Offer E,No,Yes,Yes,Churned
64,4,7614.4,One Year,None,Yes,Yes,No,Stayed
65,0,4124.15,Two Year,Offer B,No Internet,No Internet,No Internet,Stayed
9,0,1010.53,Month-to-Month,Offer E,No,No,No,Churned
60,0,6436.5,One Year,None,Yes,Yes,Yes,Stayed
35,0,1307.45,Two Year,None,No Internet,No Internet,No Internet,Stayed
11,0,511.02,Month-to-Month,Offer D,No,No,Yes,Stayed
33,1,1870.48,Two Year,None,No Internet,No Internet,No Internet,Churned
36,0,3503.95,One Year,None,Yes,Yes,Yes,Stayed
31,0,3378.07,Two Year,None,No,Yes,Yes,Stayed
27,0,500.59,Month-to-Month,None,No Internet,No Internet,No Internet,Stayed
40,0,5028.25,Month-to-Month,Offer B,Yes,No,No,Churned
3,1,267.88,Month-to-Month,Offer E,No,No,No,Churned
52,0,2112.1,Two Year,None,Yes,Yes,No,Stayed
